,team,home_tol,home_win,home_lose,away_tol,away_win,away_lose,pyhta_rate_tol,pyhta_rate_home,pyhta_rate_away,diff_tol,diff_home,diff_away,win_type,win_rate,pyhta_rate,diff_rate
33,Missouri,30,17,13,25,8,17,0.518313936,0.617953314,0.400260569,-0.063768482,-0.051286648,-0.080260569,wrate_away,0.32,0.400260569,-0.080260569
34,Washington,31,24,7,26,16,10,0.764150943,0.79970395,0.714192315,-0.062396557,-0.025510402,-0.098807699,wrate_tol,0.701754386,0.764150943,-0.062396557
35,Washington,31,24,7,26,16,10,0.764150943,0.79970395,0.714192315,-0.062396557,-0.025510402,-0.098807699,wrate_home,0.774193548,0.79970395,-0.025510402
36,Washington,31,24,7,26,16,10,0.764150943,0.79970395,0.714192315,-0.062396557,-0.025510402,-0.098807699,wrate_away,0.615384615,0.714192315,-0.098807699
37,Fresno State,26,12,14,32,12,20,0.473615752,0.589069466,0.368070519,-0.059822649,-0.127531004,0.006929481,wrate_tol,0.413793103,0.473615752,-0.059822649
38,Fresno State,26,12,14,32,12,20,0.473615752,0.589069466,0.368070519,-0.059822649,-0.127531004,0.006929481,wrate_home,0.461538462,0.589069466,-0.127531004
39,Fresno State,26,12,14,32,12,20,0.473615752,0.589069466,0.368070519,-0.059822649,-0.127531004,0.006929481,wrate_away,0.375,0.368070519,0.006929481
40,Texas State,25,5,20,30,3,27,0.204297674,0.252019665,0.168753189,-0.058843128,-0.052019665,-0.068753189,wrate_tol,0.145454545,0.204297674,-0.058843128
41,Texas State,25,5,20,30,3,27,0.204297674,0.252019665,0.168753189,-0.058843128,-0.052019665,-0.068753189,wrate_home,0.2,0.252019665,-0.052019665
42,Texas State,25,5,20,30,3,27,0.204297674,0.252019665,0.168753189,-0.058843128,-0.052019665,-0.068753189,wrate_away,0.1,0.168753189,-0.068753189
43,Ole Miss,30,16,14,25,8,17,0.493929105,0.607996941,0.348667327,-0.057565469,-0.074663607,-0.028667327,wrate_tol,0.436363636,0.493929105,-0.057565469
44,Ole Miss,30,16,14,25,8,17,0.493929105,0.607996941,0.348667327,-0.057565469,-0.074663607,-0.028667327,wrate_home,0.533333333,0.607996941,-0.074663607
45,Ole Miss,30,16,14,25,8,17,0.493929105,0.607996941,0.348667327,-0.057565469,-0.074663607,-0.028667327,wrate_away,0.32,0.348667327,-0.028667327
46,Army,22,14,8,30,11,19,0.537074648,0.542991407,0.532672078,-0.056305417,0.09337223,-0.166005411,wrate_tol,0.480769231,0.537074648,-0.056305417
47,Army,22,14,8,30,11,19,0.537074648,0.542991407,0.532672078,-0.056305417,0.09337223,-0.166005411,wrate_home,0.636363636,0.542991407,0.09337223
48,Army,22,14,8,30,11,19,0.537074648,0.542991407,0.532672078,-0.056305417,0.09337223,-0.166005411,wrate_away,0.366666667,0.532672078,-0.166005411
49,Auburn,35,25,10,21,10,11,0.679092099,0.750164839,0.552771921,-0.054092099,-0.035879124,-0.076581444,wrate_tol,0.625,0.679092099,-0.054092099
50,Auburn,35,25,10,21,10,11,0.679092099,0.750164839,0.552771921,-0.054092099,-0.035879124,-0.076581444,wrate_home,0.714285714,0.750164839,-0.035879124
