,team,home_tol,home_win,home_lose,away_tol,away_win,away_lose,diff,win_type,win_rate,pyhta_rate
63,Coastal Carolina,15,5,10,19,7,12,-0.048767965,wrate_away,0.368421053,0.461311176
64,San Jose State,25,8,17,31,5,26,-0.044906323,wrate_tol,0.232142857,0.27704918
65,San Jose State,25,8,17,31,5,26,-0.044906323,wrate_home,0.32,0.327087024
66,San Jose State,25,8,17,31,5,26,-0.044906323,wrate_away,0.161290323,0.241736262
67,Arkansas,33,11,22,22,6,16,-0.04359269,wrate_tol,0.309090909,0.352683599
68,Arkansas,33,11,22,22,6,16,-0.04359269,wrate_home,0.333333333,0.427900778
69,Arkansas,33,11,22,22,6,16,-0.04359269,wrate_away,0.272727273,0.244799421
70,Baylor,29,15,14,28,14,14,-0.042794759,wrate_tol,0.50877193,0.551566689
71,Baylor,29,15,14,28,14,14,-0.042794759,wrate_home,0.517241379,0.569378364
72,Baylor,29,15,14,28,14,14,-0.042794759,wrate_away,0.5,0.532969296
73,Arizona,28,13,15,27,7,20,-0.042147633,wrate_tol,0.363636364,0.405783997
74,Arizona,28,13,15,27,7,20,-0.042147633,wrate_home,0.464285714,0.502234626
75,Arizona,28,13,15,27,7,20,-0.042147633,wrate_away,0.259259259,0.316820227
76,Florida Atlantic,28,14,14,30,13,17,-0.040190335,wrate_tol,0.465517241,0.505707577
77,Florida Atlantic,28,14,14,30,13,17,-0.040190335,wrate_home,0.5,0.541026602
78,Florida Atlantic,28,14,14,30,13,17,-0.040190335,wrate_away,0.433333333,0.47577819
79,Utah State,25,16,9,30,11,19,-0.039793321,wrate_tol,0.490909091,0.530702412
80,Utah State,25,16,9,30,11,19,-0.039793321,wrate_home,0.64,0.629485614
81,Utah State,25,16,9,30,11,19,-0.039793321,wrate_away,0.366666667,0.440088177
82,Nebraska,34,18,16,25,8,17,-0.03852822,wrate_tol,0.440677966,0.479206186
83,Nebraska,34,18,16,25,8,17,-0.03852822,wrate_home,0.529411765,0.535818905
84,Nebraska,34,18,16,25,8,17,-0.03852822,wrate_away,0.32,0.409134667
85,Georgia Tech,29,15,14,25,7,18,-0.036418858,wrate_tol,0.407407407,0.443826266
86,Georgia Tech,29,15,14,25,7,18,-0.036418858,wrate_home,0.517241379,0.502631561
87,Georgia Tech,29,15,14,25,7,18,-0.036418858,wrate_away,0.28,0.384607891
88,Mississippi State,29,17,12,26,13,13,-0.034877203,wrate_tol,0.545454545,0.580331749
89,Mississippi State,29,17,12,26,13,13,-0.034877203,wrate_home,0.586206897,0.662575538
90,Mississippi State,29,17,12,26,13,13,-0.034877203,wrate_away,0.5,0.490071901
91,Eastern Michigan,25,9,16,32,14,18,-0.034559254,wrate_tol,0.403508772,0.438068026
92,Eastern Michigan,25,9,16,32,14,18,-0.034559254,wrate_home,0.36,0.426196308
93,Eastern Michigan,25,9,16,32,14,18,-0.034559254,wrate_away,0.4375,0.446733197
94,New Mexico State,23,9,14,35,6,29,-0.032070719,wrate_tol,0.25862069,0.290691408
95,New Mexico State,23,9,14,35,6,29,-0.032070719,wrate_home,0.391304348,0.418835415
96,New Mexico State,23,9,14,35,6,29,-0.032070719,wrate_away,0.171428571,0.22506123
97,UCLA,31,17,14,29,8,21,-0.029049796,wrate_tol,0.416666667,0.445716463
98,UCLA,31,17,14,29,8,21,-0.029049796,wrate_home,0.548387097,0.494681002
99,UCLA,31,17,14,29,8,21,-0.029049796,wrate_away,0.275862069,0.393110449
100,Michigan,35,30,5,25,16,9,-0.027900784,wrate_tol,0.766666667,0.79456745
101,Michigan,35,30,5,25,16,9,-0.027900784,wrate_home,0.857142857,0.866647267
102,Michigan,35,30,5,25,16,9,-0.027900784,wrate_away,0.64,0.66628561
103,Texas,33,21,12,28,11,17,-0.027691154,wrate_tol,0.524590164,0.552281318
104,Texas,33,21,12,28,11,17,-0.027691154,wrate_home,0.636363636,0.63327335
105,Texas,33,21,12,28,11,17,-0.027691154,wrate_away,0.392857143,0.445777763
106,Ohio,26,17,9,30,16,14,-0.026892299,wrate_tol,0.589285714,0.616178013
107,Ohio,26,17,9,30,16,14,-0.026892299,wrate_home,0.653846154,0.681132075
108,Ohio,26,17,9,30,16,14,-0.026892299,wrate_away,0.533333333,0.554300127
109,New Mexico,26,10,16,29,8,21,-0.025427015,wrate_tol,0.327272727,0.352699742
110,New Mexico,26,10,16,29,8,21,-0.025427015,wrate_home,0.384615385,0.427729371
111,New Mexico,26,10,16,29,8,21,-0.025427015,wrate_away,0.275862069,0.277652088
112,Tulane,25,12,13,30,7,23,-0.025148061,wrate_tol,0.345454545,0.370602607
113,Tulane,25,12,13,30,7,23,-0.025148061,wrate_home,0.48,0.512770268
114,Tulane,25,12,13,30,7,23,-0.025148061,wrate_away,0.233333333,0.269119468
115,Connecticut,27,6,21,28,4,24,-0.024291206,wrate_tol,0.181818182,0.206109388
116,Connecticut,27,6,21,28,4,24,-0.024291206,wrate_home,0.222222222,0.245752634
117,Connecticut,27,6,21,28,4,24,-0.024291206,wrate_away,0.142857143,0.17245502
118,Buffalo,26,14,12,30,12,18,-0.023889396,wrate_tol,0.464285714,0.48817511
119,Buffalo,26,14,12,30,12,18,-0.023889396,wrate_home,0.538461538,0.582706734
120,Buffalo,26,14,12,30,12,18,-0.023889396,wrate_away,0.4,0.387916395
121,Colorado State,27,12,15,28,12,16,-0.023627751,wrate_tol,0.436363636,0.459991387
122,Colorado State,27,12,15,28,12,16,-0.023627751,wrate_home,0.444444444,0.488437334
123,Colorado State,27,12,15,28,12,16,-0.023627751,wrate_away,0.428571429,0.43187576
124,Virginia Tech,29,17,12,27,16,11,-0.022094021,wrate_tol,0.589285714,0.611379735
125,Virginia Tech,29,17,12,27,16,11,-0.022094021,wrate_home,0.586206897,0.639329473
126,Virginia Tech,29,17,12,27,16,11,-0.022094021,wrate_away,0.592592593,0.579326375
127,Syracuse,28,14,14,27,7,20,-0.021815228,wrate_tol,0.381818182,0.40363341
128,Syracuse,28,14,14,27,7,20,-0.021815228,wrate_home,0.5,0.451526862
129,Syracuse,28,14,14,27,7,20,-0.021815228,wrate_away,0.259259259,0.354745242
130,Colorado,29,16,13,29,9,20,-0.021788901,wrate_tol,0.431034483,0.452823384
131,Colorado,29,16,13,29,9,20,-0.021788901,wrate_home,0.551724138,0.574455699
132,Colorado,29,16,13,29,9,20,-0.021788901,wrate_away,0.310344828,0.332151944
133,Central Michigan,25,13,12,31,12,19,-0.021671184,wrate_tol,0.446428571,0.468099756
134,Central Michigan,25,13,12,31,12,19,-0.021671184,wrate_home,0.52,0.557127568
135,Central Michigan,25,13,12,31,12,19,-0.021671184,wrate_away,0.387096774,0.397404057
136,Kent State,21,5,16,33,6,27,-0.020022848,wrate_tol,0.203703704,0.223726551
137,Kent State,21,5,16,33,6,27,-0.020022848,wrate_home,0.238095238,0.370253714
138,Kent State,21,5,16,33,6,27,-0.020022848,wrate_away,0.181818182,0.144130754
